Name,Building,Doc Type
CTY_T201-T204-OverheadBusductInstallation_Drawing_19820515.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_T212-T213A-Modifications_AsBuilt.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_ParkingLotLightsRepair_Drawing_20091105.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_T204-ApplianceRepairShopRemodel_Drawing_19690723.PDF,Migration,Dwg-03 AsBuilt/Record
CTY_T216-Remodel_AsBuilt_19930503.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_T216-Remodel_TAB.pdf,Migration,Report-Other
CTY_T215-Remodel_AsBuilt_19911003.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_339-SuspendedCeiling-AcousticTile_Drawing_19560618.pdf,Migration,Dwg-03 AsBuilt/Record
CTY_AirHandlingEquipmentReplacement_Drawing_20010308.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding-A_AsBuilt_19760325_1of5.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding-E_AsBuilt_19760325_5of5.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding-M_AsBuilt_19760325_4of5.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding-P_AsBuilt_19760325_3of5.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding-S_AsBuilt_19760325_2of5.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_MathScienceBuilding_Drawing_19760325.pdf,Facilities & Student Affairs (M),Dwg-03 AsBuilt/Record
CTY_84'AntennaInstallation_Drawing_19770325.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_ReplaceAirHandlerUnits-DramaArts_AsBuilt_19960606.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_ReplaceAirHandlerUnits-DramaArts_DSAApproved_19950427.pdf,Creative Arts (C),Dwg-02 Permit
CTY_ReplaceAirHandlerUnits-Theater_Drawing_19950414.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_ReplaceAirHandlerUnits-DramaArts_Drawing_19961213.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_RelocateChiller_Drawing_19981119.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_ChillerReplacement_Drawing_20041210.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_ExistingCatwalkRevision_Drawing_19751103.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_PerformingArtsEquipment_AsBuilt_19700923.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_CreativeArtsCenter-MEP_AsBuilt_19690129_3of3.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_CreativeArtsCenter-S_AsBuilt_19690129_2of3.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_CreativeArtsCenter-A_AsBuilt_19690129_1of3.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_CreativeArtsCenter_Drawing_19710402.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_Reroofing_AsBuilt_19951002.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_Reroof-SouthWing_Drawing_20091009.pdf,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_TheaterBuilding-E1-ElectricalPower-SignalPlan_Drawing.PDF,Creative Arts (C),Dwg-03 AsBuilt/Record
CTY_AbestosRemoval_AsBuilt_19951002.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
CTY_ShowerLockerBuilding_Drawing_19900530.pdf,Physical Education (P1),Dwg-03 AsBuilt/Record
